,address,company,conditions,date,description,duty,experience,name,requirements,salaryMAX,salaryMIN,schedule,skills,type_of_employment,url,count_day
11,Челябинск,Byndyusoft,не указаны,24 сентября 2020," Мы за открытое и прозрачное общение без иерархии и формализма. Активно растём и пополняем команду инженерами, которые любят своё дело. Вместе будем проводить тестирование IT-продуктов: ручное/автоматизированное/нагрузочное, применять лучшие практики в команде с бэками, фронтами и девопсами. Живем по Agile. Заказчики доверяют нам сервисы, от которых напрямую зависит их бизнес. Среди заказчиков Leroy Merlin, Ozon.ru, 585 Золото, Radware. Сотрудники Byndyusoft ценят работу за возможность профессионального развития в окружении опытных специалистов. Высокую инженерную культуру и комфортную атмосферу без лишнего контроля. Будем рады, если вы: знаете, что такое тест-кейс: можете их грамотно описать, составить сценарий тестирования; работали с системами контроля версий (git, mercurial и др.) и реляционными базами данных; знаете основы разработки и тестирования web, desktop и мобильных приложений; организовывали автоматизацию своей работы; готовы показать навыки, выполнив небольшое тестовое задание. Предлагаем: заботливую команду крутых инженеров с фанатичным автотестированием, полной автоматизацией всех процессов (DevOps, QA) и контейнеризацией (IaC); стабильную белую зарплату, оформление по ТК РФ; работу на высоконагруженных проектах и возможность изучать новые технологии; свободный график прихода и ухода из офиса и возможность иногда оставаться дома; отдельный кабинет для каждой команды, с кондиционерами и большими окнами; покупку книг за счет компании; возможность посещать профильные конференции и получать дополнительное образование за счёт компании; регулярные корпоративы; офис в Санкт-Петербурге при желании поменять место проживания. *Удалённых сотрудников не рассматриваем ",не указано,1–3 года,QA-инженер/Тестировщик ПО,,,40000.0,полный день,"QA,Git,Testing Framework,Test case,User Acceptance Testing,SQL,Коммуникативные навыки",Полная занятость,https://tyumen.hh.ru/vacancy/39423726,35
23,Миасс,Game Development Bureau,"Гибкий график, 10:00 - 19:00;,Полное официальное трудоустройство;,Оклад зависит от опыта работы, по результатам собеседования;,Офис в г. Миасс (100 км. от Челябинска);",15 сентября 2020," Обязанности: Тестирование проектов на мобильные платформы Android, iOS, PC; Ведение документации по контролю качества продукта (работа с трекером, мониторинг задач, своевременное реагирование на изменения); Сборка проекта при помощи средств движка Unity 3D на данные платформы (опыт сборки необязателен, но желателен); Выдача лещей и пендалей программистам; Требования: Опыт работы в качестве тестировщика игр/ПО; Терпение, усидчивость, способность повторять одно и то же действие бесконечное количество раз; Большой опыт в компьютерных и мобильных играх; Готовность, к переезду в г. Миасс; Готовность выполнить тестовое задание; Будет плюсом: Опыт в тестировании игр (участие в закрытых альфа/бета тестах); Опыт сборки Android и iOS проектов; Умение работать с adb logcat (например, в составе Android Studio) Условия: Гибкий график, 10:00 - 19:00; Полное официальное трудоустройство; Оклад зависит от опыта работы, по результатам собеседования; Офис в г. Миасс (100 км. от Челябинска); ","Тестирование проектов на мобильные платформы Android, iOS, PC;,Ведение документации по контролю качества продукта (работа с трекером, мониторинг задач, своевременное реагирование на изменения);,Сборка проекта при помощи средств движка Unity 3D на данные платформы (опыт сборки необязателен, но желателен);,Выдача лещей и пендалей программистам;",1–3 года,Тестировщик ПО/Тестер (QA),"Опыт работы в качестве тестировщика игр/ПО;,Терпение, усидчивость, способность повторять одно и то же действие бесконечное количество раз;,Большой опыт в компьютерных и мобильных играх;,Готовность, к переезду в г. Миасс;,Готовность выполнить тестовое задание;",,35000.0,полный день,"QA,Unity,Тестирование,Функциональное тестирование",Полная занятость,https://tyumen.hh.ru/vacancy/39247416,44
132,Москва,DriverPack Solution,не указаны,14 октября 2020," Привет! Я, Артур Кузяков, основатель компании DriverPack. Сейчас нами пользуется больше 60 млн. человек во всех странах мира! Чтобы развивать сервис и создавать новые крутые продукты, мы поставили себе реально амбициозную цель - набрать еще 2 полноценные Scrum команды. Мы нанимаем только самых крутых разработчиков, но чтобы ребята быстро сработались, нам нужен действительно крутой Тестировщик ! Чтобы было понятней, кто мы такие и что для нас важно, то вот три принципа, на которые мы ориентируемся и которые отражают наши подходы и ценности: P.S - это реальные ценности, а не пустые слова, приходи к нам знакомиться и мы расскажем тебе, как эти принципы помогают нам в работе и как мы их применяем) Честность - потому что в долгосрочной перспективе, она всегда выигрывает Табу на слово ""невозможно"" - вместо этого мы говорим, ""давай придумаем, как это можно реализовать"" Работа на результат - для нас в работе важен не процесс и даже не технологии, а конечный результат Если, то что ты читаешь тебя вдохновляет и у тебя есть отклик с нашими ценностями и задачами, то вот тебе еще немножко информации о нас: Как мы работаем: Живем в scrum-фреймворке с длиной спринта в 1 неделю (сейчас не совсем так, но планируем вернуться к такому графику) Работаем в офисе в Москве (если нужно - поможем с переездом) Гибкое начало рабочего дня: с 10 до 11:30 Офис находится в центре, недалеко от метро Цветной бульвар, Чеховская, Тверская Офис с собственной парковкой работает 24\7 В нашем клевом офисе есть душ, оборудованная кухня со всем необходимым и комната отдыха с PS4 Для нас важно, чтобы вам было комфортно работать, поэтому мы покупаем сотрудникам всю нужную технику и программное обеспечение Сотрудникам из других городов мы предоставляем комнату в корпоративной квартире в центре Москвы на время поиска постоянного места жительства Платим зарплату выше рынка и хотим придумать дополнительные приятные ништяки и плюшки для наших сотрудников Что делать дальше: Высылай резюме Давай познакомимся и пообщаемся лично Выполни нескучное тестовое задание Выходи к нам на работу =) Откликайся скорее или поучаствуй в реферальной программе! За каждую успешную рекомендацию (кандидат прошел месяц испытательного срока) — мы платим 100К рублей. Чтобы порекомендовать человека - просто скинь ему одну из наших вакансий и попроси на собеседовании сказать, что он пришел по твоей рекомендации (мы сами его спросим). А дальше через него мы найдем твои контакты и свяжемся с тобой для организации выплаты. ",не указано,не требуется,Тестировщик ПО в SCRUM команду в Москву,,,,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/39804519,15
187,Челябинск,Napoleon IT,не указаны,7 октября 2020," Компания Napoleon IT ― разработчик программного обеспечения. Мы предлагаем готовые решения, а также осуществляем разработку по гибкой методологии. Мы набираем команду в проект к иностранному заказчику из Швейцарии. Коммуникации с командой будут на английском языке. Работа в тайм-зоне Швейцарии (GMT+2). Достойный уровень заработной платы (зависит от ожиданий и профессионального уровня кандидата). Чем предстоит заниматься: Проведение ручного и автоматизированного тестирования (web/mobile) Локализация и документирование найденных дефектов (Jira, Confluence, TestRails) Взаимодействие с командой разработки, менеджерами Тестирование API (Swagger UI, JSON Parser, Postman, Jmeter) Требования: Опыт тестирования от 2 лет Понимание Agile Уровень английского языка от С1 и выше, коммуникация будет напрямую с заказчиком. Автоматизация тестирования (Cypress, Cucumber, TypeScript) Условия: Официальное трудоустройство; Пятидневный рабочий день; Обучение и возможность карьерного роста; Широкие возможности для реализации Удаленная работа. ",не указано,1–3 года,Middle QA engineer,,,61250.0,удаленная работа,"Английский — C1 — Продвинутый,Atlassian Jira,Atlassian Confluence,XML,Английский язык",Полная занятость,https://tyumen.hh.ru/vacancy/39669769,22
210,Челябинск,Прикладные технологии,"Оклад обсуждается индивидуально.,Официальное трудоустройство, социальный пакет по ТК.,Гибкий график работы после испытательного срока.,Курсы английского языка.,Современный офис (комнаты для совещаний, настольный футбол, теннис, зерновой кофе, молоко, печенье).,Внутрикорпоративные инструменты для совместной работы и коммуникаций.,Всегда современные технические средства (ноутбуки, системники, мониторы).",15 октября 2020," Ищем Senior QA Engineer для участия в различных проектах нашей компании (как новых, так и имеющихся). В ходе работы будет возможность столкнуться с интересными и сложными задачами, современными технологиями и процессами, увидеть своими глазами как делаются проекты мирового класса, пообщаться как с российскими так и зарубежными профессионалами и повысить свою квалификацию. Мы настроены на долгое и плодотворное сотрудничество. Требования к кандидатам: Опыт ручного тестирования ПО от 3 лет. Представление о принципах и видах тестирования. Опыт написания тест-кейсов, тест-планов и тестовых стратегий. Опыт использования багтрекинговых систем (например, JIRA). Знание SQL и общих концепций работы СУБД. Ответственность, внимательность, усидчивость, обучаемость, умение работать в команде, аналитический склад ума. Знание английского языка на уровне, достаточном для ведения рабочей переписки. Резюме на русском и английском языках. Будет плюсом: Опыт работы с XML, JSON, REST. Опыт тестирования Web, Mobile, опыт тестирования REST. Умение работать с командной строкой. Знание Unix/Linux. Обязанности: Функциональное, регрессионное тестирование. Составление тест-кейсов. Создание баг репортов. Собеседование только после предоставления резюме. В резюме необходимо указать, на какую вакансию претендуете. Условия: Оклад обсуждается индивидуально. Официальное трудоустройство, социальный пакет по ТК. Гибкий график работы после испытательного срока. Курсы английского языка. Современный офис (комнаты для совещаний, настольный футбол, теннис, зерновой кофе, молоко, печенье). Внутрикорпоративные инструменты для совместной работы и коммуникаций. Всегда современные технические средства (ноутбуки, системники, мониторы). О компании: ООО «Прикладные технологии» уже более 20 лет успешно развивается в сфере разработки программного обеспечения и его тестирования. В настоящее время компания насчитывает более 250 сотрудников, имеет 3 офиса – в Челябинске (головной), Екатеринбурге и Миассе. В деловом портфеле «Прикладных технологий» - заказы отечественных и зарубежных партнеров. Компания готова предложить своим заказчикам не только проверенные стандартные, но и качественные индивидуальные решения задач. Мы стремимся к постоянному расширению набора средств проектирования, разработки и сопровождения программного обеспечения. ","Функциональное, регрессионное тестирование.,Составление тест-кейсов.,Создание баг репортов.",более 6 лет,Senior QA Engineer,"Опыт ручного тестирования ПО от 3 лет.,Представление о принципах и видах тестирования.,Опыт написания тест-кейсов, тест-планов и тестовых стратегий.,Опыт использования багтрекинговых систем (например, JIRA).,Знание SQL и общих концепций работы СУБД.,Ответственность, внимательность, усидчивость, обучаемость, умение работать в команде, аналитический склад ума.,Знание английского языка на уровне, достаточном для ведения рабочей переписки.,Резюме на русском и английском языках.",,110000.0,полный день,,Полная занятость,https://tyumen.hh.ru/vacancy/38999615,14
211,Челябинск,741 Studios,не указаны,17 сентября 2020," We are currently looking for a Senior Automation QA to develop and execute exploratory and automated tests to ensure product quality. If you have an engineering background and enjoy providing end-to-end solutions to software quality problems, we’d really like to meet you. About Exadel: Since 1998 Exadel has been engineering its own software products and custom software for clients of all sizes. Headquartered in Walnut Creek, California, Exadel currently has 1000+ employees in development centers across America, Europe and Asia. About the Customer: For more than 30 years, the customer’s company has been helping client organizations succeed by providing independent, objective insight and financially-centered software tools that support decision making and enable the development and execution of sustainable strategies and goals. The customer provides management consulting services, enterprise performance management software, and benchmark data and analytics that help clients to sustain success in a changing environment. Team Composition: 1 Team Leader, 5 Developers, 1 Project Manager, 2 QAs Project Tech Stack: .Net + JS Current Project Stage: Development Requirements: 3+ years of experience in building and maintenance of automation frameworks Experience with JS language Significant knowledge in test case design techniques Understanding of test framework layers Experience with tools for GUI testing (Selenium, Protractor) Experience with performance testing tools Passion for testing and aspiration to deliver high-quality products English level: B2 Responsibilities: Provide the best quality tests Create plans, test scenarios, test cases and test reports Active participation in the software development process, cooperation with programmers, analysts and administrators Develop and improve a set of methodologies, procedures and tools used in the field of testing Execute and monitor results of automated suites within CI infrastructure Create technical and utility documentation Work with Jira (issues creation/verification) Benefits: Attractive salary — we reward your commitment to our company Personal development — we understand that life-long learning is important and support everything that encourages a personal willingness to learn Language classes with a native speaker Flexible work schedule — a good work-life balance is the most important prerequisite for being creative and productive Friendly work environment Interesting job in an innovative company with the latest technologies Collaboration with a team full of interesting people As a successful, high-growth company, we know that our employees are critical to our success. This is why we encourage ingenuity, creativity and teamwork as important elements to the growth of our business. We believe that career growth and business growth go hand in hand. ",не указано,3–6 лет,Senior Automation QA with JS,,,61250.0,полный день,"Английский — B2 — Средне-продвинутый,JavaScript,Auto QA",Полная занятость,https://tyumen.hh.ru/vacancy/39285816,42
263,Челябинск,Playrix,"официальное оформление: конкурентная «белая» зарплата, отпуск, больничные, ДМС для сотрудников и их детей;,свободный рабочий график — мы не считаем отработанные часы и ориентируемся только на результат;,полная компенсация зарплаты во время больничного;,индивидуальные занятия по английскому языку для всех уровней;,бесплатный доступ к электронной библиотеке издательства «МИФ»;,компенсация за занятия спортом;,ежегодные внутренние конференции PlayrixCON;,возможность работать удаленно или в одном из наших офисов (Великий Новгород, Вологда, Воронеж, Иваново, Калининград, Киев, Москва, Новосибирск, Петрозаводск, Ростов-на-Дону, Санкт-Петербург, Харьков, Челябинск)",12 октября 2020," Удаленно (любой город) или офис (Великий Новгород, Вологда, Воронеж, Иваново, Калининград, Киев, Москва, Новосибирск, Петрозаводск, Ростов-на-Дону, Санкт-Петербург, Харьков, Челябинск) Playrix — крупнейшая игровая компания в СНГ. Мы входим в ТОП-5 самых успешных мобильных издателей мира. Наши проекты — Township, Fishdom, Gardenscapes, Homescapes, Wildscapes и Manor Matters. Ежедневно в них играют более 30 миллионов людей. Наш успех — результат усилий выдающейся команды. Более 2000 профессионалов по всему миру решают уникальные задачи и задают новые стандарты качества для всей индустрии. В Playrix можно работать где угодно: в одном из офисов компании или удаленно в любой точке планеты. Мы ищем инженера по автоматизации тестирования для работы над внутренним маркетинговым сервисом. Мы создаем аналитические инструменты нового поколения, которые помогают команде маркетинга принимать верные решения и позволяют успешно продвигать наши игры на мобильном рынке. Задачи: разработка, развитие и сопровождение автотестов для инструментов автоматического продвижения игр на мобильном рынке и анализа больших объемов данных; автоматизация тестирования взаимодействия с API различных сервисов (Facebook, Google и другие); улучшение процессов автоматизированного тестирования. Требования к кандидату: опыт автоматизации тестирования веб-сервисов на Python от 1 года; опыт написания тестов для API и создания mock-объектов; навыки работы с базами данных, оптимизации запросов; будет плюсом опыт интеграции автотестов с CI инструментами и с системами контроля версий; желателен опыт работы с AWS; будет плюсом опыт создания фреймворка для тестирования. Условия работы: официальное оформление: конкурентная «белая» зарплата, отпуск, больничные, ДМС для сотрудников и их детей; свободный рабочий график — мы не считаем отработанные часы и ориентируемся только на результат; полная компенсация зарплаты во время больничного; индивидуальные занятия по английскому языку для всех уровней; бесплатный доступ к электронной библиотеке издательства «МИФ»; компенсация за занятия спортом; ежегодные внутренние конференции PlayrixCON; возможность работать удаленно или в одном из наших офисов (Великий Новгород, Вологда, Воронеж, Иваново, Калининград, Киев, Москва, Новосибирск, Петрозаводск, Ростов-на-Дону, Санкт-Петербург, Харьков, Челябинск) ",не указано,1–3 года,QA Automation Engineer (Инженер по автоматизации тестирования),"опыт автоматизации тестирования веб-сервисов на Python от 1 года;,опыт написания тестов для API и создания mock-объектов;,навыки работы с базами данных, оптимизации запросов;,будет плюсом опыт интеграции автотестов с CI инструментами и с системами контроля версий;,желателен опыт работы с AWS;,будет плюсом опыт создания фреймворка для тестирования.",,61250.0,полный день,"Python,MS Visio,MS Visual Studio,Atlassian Jira,Sony Vegas",Полная занятость,https://tyumen.hh.ru/vacancy/38879975,17
323,Челябинск,CTI,не указаны,12 октября 2020," CTI – Communications. Technology. Innovations. - Компания CTI – ведущий системный интегратор, поставщик ИT-решений и облачных услуг на территории России и стран СНГ. Входит в ТОП-30 крупнейших ИТ-компаний по показателю эффективности ведения бизнеса по версии CNews и в 25 лучших системных интеграторов России по версии CRN/RE. Компания имеет более чем 18-летний опыт реализации и поддержки комплексных проектов различного масштаба и уровня сложности по таким направлениям как бизнес-коммуникации и контакт-центры, телекоммуникационные и сетевые решения, информационная безопасность, центры обработки и хранения данных, Интернет вещей, системы видеонаблюдения и аналитики, комплексный аутсорсинг. В CTI есть собственный Департамент R&amp;D, эксперты которого реализуют сложные интеграционные проекты, а также разрабатывают инновационные программные продукты для решения задач Заказчиков. CTI разрабатывает собственные продукты, которые позволяют автоматизировать работу контакт-центров, а также выстроить эффективные продажи у наших Заказчиков: CTI OMNI - система обработки мультиканальных обращений; CTI Outbound – автоматизирует исходящий обзвон и позволяет эффективно выстроить телемаркетинг; CTI Scripting - продукт для ускорения процессов разработки агентских и IVR-скриптов; CTI Speech Attendant - «автосекретарь» с распознаванием речи. Компания CTI – это команда настоящих профессионалов и единомышленников! Мы приглашаем в свою команду Инженера по тестированию ПО . Ваши функции: Выполнение функционального и нефункционального тестирования программного обеспечения по составленным тест-кейсам и/или чеклистам на проектах; Регистрация и диагностика найденных дефектов в Jira; Отслеживание жизненного цикла дефектов; Повторное тестирование исправленных дефектов; Формирование и поддержка стендов тестирования; Подготовка тестовой документации; Подготовка отчетности по процессу тестирования ПО. Наши ожидания: Опыт работы в системном интеграторе; Опыт тестирования ПО от 2-3 лет (функциональное, нефункциональное, тестирование связанные с изменениями в ПО); Понимание процесса разработки программного обеспечения, жизненного цикла программного продукта и методологий тестирования; Базовые знания СУБД на уровне составления несложных SQL-запросов; Умение настраивать и управлять тестовыми стендами в виртуальной среде; Ответственность и умение работать в команде; Желание развиваться и совершенствоваться в области автоматизации процессов тестирования. Что предлагаем мы: Официальное трудоустройство и оформление полностью согласно ТК РФ; Достойный уровень оплаты труда; Возможность частично удаленной работы; Профессиональное развитие; Наличие у компании статусов и наград от ведущих вендоров; Систему обучения и тренингов от ведущих специалистов рынка; Отличную возможность работы с самыми опытными, ценными специалистами; ДМС (с возможностью льготного страхования родных); Режим работы с 9/10.00-18/19.00 по выбору. ",не указано,3–6 лет,Инженер по тестированию ПО,,,61250.0,полный день,"SQL,Управление проектами,MS SQL,Test case,Cистемы управления базами данных",Полная занятость,https://tyumen.hh.ru/vacancy/39298272,17
568,Магнитогорск,Bell Integrator,не указаны,14 октября 2020," Bell Integrator – международная компания, предоставляющая традиционные технологические услуги и инновационные сервисы. С 2003 года мы предоставляем клиентам широкий спектр сервисов и решений в области инновационных технологий. ОБЯЗАННОСТИ: Проведение функционального и интеграционного тестирования (банковское / финансовое ПО) Написание тест кейсов, тестовых сценариев Заведение / ретест дефектов в багтрекинговой системе Коммуникация со смежными подразделениями (разработка, аналитика) Формирование отчетности по результатам тестирования ТРЕБОВАНИЯ: Опыт работы функциональным тестировщиком от полутора лет для Middle QA, от 2,5 лет Senior QA Знание основных технологий и методов тестирования / API Работа с логами Опыт написания тест-кейсов и ревью Умение создавать и актуализировать тестовую модель Базовые знания в области СУБД Знание SQL на уровне написания простых запросов Опыт взаимодействия с разработчиками, аналитиками УСЛОВИЯ: Конкурентная заработная плата Оформление в соответствии с ТК РФ ",не указано,1–3 года,Инженер по тестированию ПО,,,,полный день,"Функциональное тестирование,SQL,Тестирование,Atlassian Jira,Test case",Полная занятость,https://tyumen.hh.ru/vacancy/39813025,15
